,0
0,ምርምር
1,!!
2,የአማርኛ
3,ተቃውሞ
4,ፌዴሬሽን
5,ደቂቃ
6,የፍቅር
7,ሊን
8,¤
9,እድገት
10,አስመልክቶ
11,ታዳጊ
12,ምሽት
13,ሰንበት
14,የተባበሩት
15,ቡድኑ
16,ፊልም
17,ዘጋጁ
18,ቅዳሜ
19,፭
20,ታወቀው
21,ምርቶች
